Country,City,Scam Type,Description,Location,Prevention Tips,,,
Saudi Arabia,Jeddah,Fake Watches,Selling fake branded watches.,Watch shops,Buy from authorized dealers and check for authenticity.,,,
Saudi Arabia,Mecca,Fake Accessories,Selling fake branded accessories.,Accessory shops,Buy from authorized dealers and check for authenticity.,,,
Saudi Arabia,Medina,Fake Food,Selling fake or low-quality food as genuine.,Food markets,Buy from reputable vendors and check for quality.,,,
Saudi Arabia,Riyadh,Fake Medicine,Selling fake or low-quality medicine.,Pharmacies,Buy from licensed pharmacies and check for authenticity.,,,
Saudi Arabia,Jeddah,Fake Cosmetics,Selling fake or low-quality cosmetics.,Cosmetic stores,Buy from authorized dealers and check for authenticity.,,,
Saudi Arabia,Mecca,Fake Tour Packages,Offering fake tour packages.,Travel agencies,Book through reputable travel agencies.,,,
Saudi Arabia,Medina,Fake Insurance,Selling fake insurance policies.,Insurance agents,Buy from licensed insurance providers.,,,
Saudi Arabia,Riyadh,Fake Investment,Offering fake investment opportunities.,Online platforms,Research and invest through reputable channels.,,,
Saudi Arabia,Jeddah,Fake Job Offers,Offering fake job opportunities.,Online platforms,Verify job offers and use reputable job portals.,,,
Saudi Arabia,Mecca,Fake Education,Offering fake educational courses.,Educational institutions,Verify courses and use reputable institutions.,,,
Saudi Arabia,Medina,Fake Certificates,Selling fake certificates.,Educational institutions,Verify certificates and use reputable institutions.,,,
Saudi Arabia,Riyadh,Fake IDs,Selling fake IDs.,Online platforms,Do not buy or use fake IDs.,,,
Saudi Arabia,Jeddah,Fake Passports,Selling fake passports.,Online platforms,Do not buy or use fake passports.,,,
Saudi Arabia,Mecca,Fake Visas,Selling fake visas.,Online platforms,Use official channels for visa applications.,,,
Saudi Arabia,Medina,Fake Documents,Selling fake documents.,Online platforms,Do not buy or use fake documents.,,,
Saudi Arabia,Riyadh,Fake Currency,Selling fake currency.,Street vendors,Do not buy or use fake currency.,,,
Saudi Arabia,Jeddah,Fake Lottery,Offering fake lottery tickets.,Street vendors,Do not buy fake lottery tickets.,,,
Saudi Arabia,Mecca,Fake Prizes,Offering fake prizes.,Online platforms,Do not participate in unknown prize schemes.,,,
Saudi Arabia,Medina,Fake Auctions,Offering fake auction items.,Online platforms,Verify auction items and use reputable auction sites.,,,
Saudi Arabia,Riyadh,Fake Antiques,Selling fake antiques as genuine.,Antique shops,Buy from reputable dealers and check for authenticity.,,,
Saudi Arabia,Jeddah,Fake Books,Selling fake or pirated books.,Bookstores,Buy from authorized dealers and check for authenticity.,,,
Spain,Madrid,Terrace Theft,Distraction techniques to steal items from outdoor tables.,"Cafes, Restaurants",Keep valuables hidden and secure.,,,
Spain,Barcelona,Clipboard Scam,Fake petitions to distract and pickpocket.,Tourist areas,Avoid signing petitions from strangers.,,,
Spain,Seville,Rosemary Scam,"Offering rosemary for good luck, then demanding money.",Tourist sites,Politely decline and walk away.,,,
Spain,Valencia,Free Gift Scam,"Offering free gifts, then demanding payment.",Tourist areas,Decline offers and keep moving.,,,
Spain,Granada,Taxi Scams,Overcharging or claiming the meter is broken.,"Airports, Tourist spots",Use official taxis and ensure the meter is on.,,,
Spain,Malaga,Fake Ticket Scams,Selling fake tickets to attractions.,"Online, Tourist offices",Buy tickets from official websites.,,,
Spain,Bilbao,Restaurant Scams,Overcharging for unordered items.,Restaurants,Check the bill carefully.,,,
Spain,Zaragoza,Euronet ATMs,High fees and poor exchange rates.,ATMs,Use bank ATMs instead.,,,
Spain,Cordoba,Metro Scams,Fake help at ticket machines to steal money.,Metro stations,"Use machines yourself, avoid help from strangers.",,,
Spain,Alicante,Bird Poo Scam,"Offering to clean bird poo, then stealing.",Tourist areas,Decline offers and clean yourself.,,,
Spain,Madrid,Fake Police,Fake police checking wallets for counterfeit money.,"Late night, Tourist areas",Demand checks at police stations.,,,
Spain,Barcelona,Trojan Horse Suitcase,Pickpocketing from luggage on buses.,Long bus journeys,Keep luggage secure and in sight.,,,
Spain,Valencia,Group Photo Scam,"Offering to take photos, then stealing the camera.",Tourist sites,Use your own camera or phone.,,,
Spain,Seville,Sob Story Scam,Asking for money with fake sad stories.,Tourist areas,Decline and walk away.,,,
Spain,Granada,No Price Menu,Ordering from menus without prices.,Restaurants,Ask for prices before ordering.,,,
Spain,Malaga,Pea and Cup Game,Street game to distract and steal money.,Tourist areas,Avoid playing street games.,,,
Spain,Bilbao,Football Scam,Pickpocketing during friendly football games.,Tourist areas,Keep valuables secure during games.,,,
Spain,Zaragoza,Fake Restaurant Voucher,Fake discount vouchers for restaurants.,Tourist areas,Verify vouchers with restaurant staff.,,,
Spain,Cordoba,Fake Charity,Fake charity petitions to pickpocket.,Tourist areas,Avoid signing petitions from strangers.,,,
Spain,Alicante,Lucky Rosemary,Gypsy ladies offering rosemary for money.,Tourist areas,Politely decline and walk away.,,,
Spain,Madrid,Fake Restaurant Coupons,Fake coupons leading to overcharging.,Tourist areas,Verify coupons before using.,,,
Spain,Barcelona,Pickpockets on Metro,Pickpocketing on crowded metros.,Metro stations,Keep valuables secure and in sight.,,,
Spain,Valencia,Bogus Petitions,Fake petitions to distract and pickpocket.,Tourist areas,Avoid signing petitions from strangers.,,,
Spain,Seville,Soccer Scam,Pickpocketing during friendly soccer games.,Tourist areas,Keep valuables secure during games.,,,
Spain,Granada,Good Samaritan Scam,Fake help to pickpocket.,Tourist areas,Decline help from strangers.,,,
Spain,Malaga,White Mime Scam,Mimes demanding money for photos.,Tourist areas,Avoid taking photos with mimes.,,,
Spain,Bilbao,Fake Donations,Fake donation requests for charities.,Tourist areas,Donate to charities online instead.,,,
Spain,Zaragoza,Beach Theft,Stealing unattended items on the beach.,Beaches,Keep items secure and in sight.,,,
Spain,Cordoba,Photo Offer Scam,"Offering to take photos, then stealing.",Tourist sites,Use your own camera or phone.,,,
Spain,Alicante,Fake Police,Fake police checking wallets for counterfeit money.,"Late night, Tourist areas",Demand checks at police stations.,,,
Spain,Madrid,Taxi Scams,Overcharging or claiming the meter is broken.,"Airports, Tourist spots",Use official taxis and ensure the meter is on.,,,
Spain,Barcelona,Fake Ticket Scams,Selling fake tickets to attractions.,"Online, Tourist offices",Buy tickets from official websites.,,,
Spain,Valencia,Restaurant Scams,Overcharging for unordered items.,Restaurants,Check the bill carefully.,,,
Spain,Seville,Euronet ATMs,High fees and poor exchange rates.,ATMs,Use bank ATMs instead.,,,
Spain,Granada,Metro Scams,Fake help at ticket machines to steal money.,Metro stations,"Use machines yourself, avoid help from strangers.",,,
Spain,Malaga,Bird Poo Scam,"Offering to clean bird poo, then stealing.",Tourist areas,Decline offers and clean yourself.,,,
Spain,Bilbao,Fake Police,Fake police checking wallets for counterfeit money.,"Late night, Tourist areas",Demand checks at police stations.,,,
Spain,Zaragoza,Trojan Horse Suitcase,Pickpocketing from luggage on buses.,Long bus journeys,Keep luggage secure and in sight.,,,
Spain,Cordoba,Group Photo Scam,"Offering to take photos, then stealing the camera.",Tourist sites,Use your own camera or phone.,,,
Spain,Alicante,Sob Story Scam,Asking for money with fake sad stories.,Tourist areas,Decline and walk away.,,,
Spain,Madrid,No Price Menu,Ordering from menus without prices.,Restaurants,Ask for prices before ordering.,,,
Spain,Barcelona,Pea and Cup Game,Street game to distract and steal money.,Tourist areas,Avoid playing street games.,,,
Spain,Valencia,Football Scam,Pickpocketing during friendly football games.,Tourist areas,Keep valuables secure during games.,,,
Spain,Seville,Fake Restaurant Voucher,Fake discount vouchers for restaurants.,Tourist areas,Verify vouchers with restaurant staff.,,,
Spain,Granada,Fake Charity,Fake charity petitions to pickpocket.,Tourist areas,Avoid signing petitions from strangers.,,,
Spain,Malaga,Lucky Rosemary,Gypsy ladies offering rosemary for money.,Tourist areas,Politely decline and walk away.,,,
Spain,Bilbao,Fake Restaurant Coupons,Fake coupons leading to overcharging.,Tourist areas,Verify coupons before using.,,,
Spain,Zaragoza,Pickpockets on Metro,Pickpocketing on crowded metros.,Metro stations,Keep valuables secure and in sight.,,,
Spain,Cordoba,Bogus Petitions,Fake petitions to distract and pickpocket.,Tourist areas,Avoid signing petitions from strangers.,,,
Spain,Alicante,Soccer Scam,Pickpocketing during friendly soccer games.,Tourist areas,Keep valuables secure during games.,,,
Spain,Madrid,Good Samaritan Scam,Fake help to pickpocket.,Tourist areas,Decline help from strangers.,,,
Spain,Barcelona,White Mime Scam,Mimes demanding money for photos.,Tourist areas,Avoid taking photos with mimes.,,,
Spain,Valencia,Fake Donations,Fake donation requests for charities.,Tourist areas,Donate to charities online instead.,,,
Spain,Seville,Beach Theft,Stealing unattended items on the beach.,Beaches,Keep items secure and in sight.,,,
Spain,Granada,Photo Offer Scam,"Offering to take photos, then stealing.",Tourist sites,Use your own camera or phone.,,,
Greece,Athens,Taxi Scams,Overcharging or taking longer routes.,"Airports, Tourist spots","Use official taxis, ensure meter is on.",,,
Greece,Santorini,Ferry Ticket Scam,Selling fake or overpriced ferry tickets.,Ferry ports,Buy tickets from official booths.,,,
Greece,Mykonos,Friendly Bar Friends,Locals suggest moving to another bar with inflated bills.,"Bars, Nightclubs",Stick to your original plan.,,,
Greece,Crete,Pickpocketing,Theft in crowded areas and public transportation.,"Busy streets, Public transport",Keep valuables secure.,,,
Greece,Rhodes,Free Gift Scams,"Offering free gifts, then demanding payment.",Tourist areas,Decline offers and keep moving.,,,
Greece,Corfu,Rental Scams,Damaging rentals and blaming tourists for repairs.,Rental shops,Rent from reputable companies.,,,
Greece,Thessaloniki,Overcharging Taxis,Charging excessive fares or claiming meter is broken.,"Airports, Tourist spots","Ensure meter is on, agree on price beforehand.",,,
Greece,Zakynthos,Fake Petitions,Fake charity petitions to distract and pickpocket.,Tourist areas,Avoid signing petitions from strangers.,,,
Greece,Athens,Broken Camera Scam,"Asking to take a photo, then demanding money for repairs.",Tourist sites,Avoid taking photos for strangers.,,,
Greece,Santorini,Switching Menus,"Showing a cheaper menu, then charging from a pricier one.",Restaurants,Verify menu prices before ordering.,,,
Greece,Mykonos,ATM Help Scam,Offering help at ATMs to steal PINs.,ATMs,"Shield PIN entry, decline help.",,,
Greece,Crete,Fake Police,Fake police checking wallets for counterfeit money.,Tourist areas,Demand checks at police stations.,,,
Greece,Rhodes,Tour Guide Scam,Unofficial guides offering overpriced tours.,Tourist sites,Use official tour guides.,,,
Greece,Corfu,Fake Donations,Fake donation requests for charities.,Tourist areas,Donate to charities online instead.,,,
Greece,Thessaloniki,Fake Parking Attendants,Demanding money for parking assistance.,Parking lots,Use official parking services.,,,
Greece,Zakynthos,Fake Jewelry,Selling fake jewelry as real.,Jewelry shops,Buy from reputable jewelers.,,,
Greece,Athens,Fake Souvenirs,Selling fake souvenirs as genuine.,Souvenir shops,Buy from reputable shops.,,,
Greece,Santorini,Fake Art,Selling fake art as genuine.,Art galleries,Buy from reputable galleries.,,,
Greece,Mykonos,Fake Perfume,Selling fake perfume as branded.,Perfume shops,Buy from authorized dealers.,,,
Greece,Crete,Fake Electronics,Selling fake electronics as branded.,Electronics shops,Buy from authorized dealers.,,,
Greece,Rhodes,Fake Clothing,Selling fake branded clothing.,Clothing stores,Buy from authorized dealers.,,,
Greece,Corfu,Fake Watches,Selling fake branded watches.,Watch shops,Buy from authorized dealers.,,,
Greece,Thessaloniki,Fake Accessories,Selling fake branded accessories.,Accessory shops,Buy from authorized dealers.,,,
Greece,Zakynthos,Fake Food,Selling fake or low-quality food as genuine.,Food markets,Buy from reputable vendors.,,,
Greece,Athens,Fake Medicine,Selling fake or low-quality medicine.,Pharmacies,Buy from licensed pharmacies.,,,
Greece,Santorini,Fake Cosmetics,Selling fake or low-quality cosmetics.,Cosmetic stores,Buy from authorized dealers.,,,
Greece,Mykonos,Fake Tour Packages,Offering fake tour packages.,Travel agencies,Book through reputable travel agencies.,,,
Greece,Crete,Fake Insurance,Selling fake insurance policies.,Insurance agents,Buy from licensed insurance providers.,,,
Greece,Rhodes,Fake Investment,Offering fake investment opportunities.,Online platforms,Research and invest through reputable channels.,,,
Greece,Corfu,Fake Job Offers,Offering fake job opportunities.,Online platforms,Verify job offers and use reputable job portals.,,,
Greece,Thessaloniki,Fake Education,Offering fake educational courses.,Educational institutions,Verify courses and use reputable institutions.,,,
Greece,Zakynthos,Fake Certificates,Selling fake certificates.,Educational institutions,Verify certificates and use reputable institutions.,,,
Greece,Athens,Fake IDs,Selling fake IDs.,Online platforms,Do not buy or use fake IDs.,,,
Greece,Santorini,Fake Passports,Selling fake passports.,Online platforms,Do not buy or use fake passports.,,,
Greece,Mykonos,Fake Visas,Selling fake visas.,Online platforms,Use official channels for visa applications.,,,
Greece,Crete,Fake Documents,Selling fake documents.,Online platforms,Do not buy or use fake documents.,,,
Greece,Rhodes,Fake Currency,Selling fake currency.,Street vendors,Do not buy or use fake currency.,,,
Greece,Corfu,Fake Lottery,Offering fake lottery tickets.,Street vendors,Do not buy fake lottery tickets.,,,
Greece,Thessaloniki,Fake Prizes,Offering fake prizes.,Online platforms,Do not participate in unknown prize schemes.,,,
Greece,Zakynthos,Fake Auctions,Offering fake auction items.,Online platforms,Verify auction items and use reputable auction sites.,,,
Greece,Athens,Fake Antiques,Selling fake antiques as genuine.,Antique shops,Buy from reputable dealers.,,,
Greece,Santorini,Fake Books,Selling fake or pirated books.,Bookstores,Buy from authorized dealers.,,,
Greece,Mykonos,Fake Software,Selling fake or pirated software.,Online platforms,Buy from authorized dealers.,,,
Greece,Crete,Fake Games,Selling fake or pirated games.,Online platforms,Buy from authorized dealers.,,,
Greece,Rhodes,Fake Movies,Selling fake or pirated movies.,Online platforms,Buy from authorized dealers.,,,
Greece,Corfu,Fake Music,Selling fake or pirated music.,Online platforms,Buy from authorized dealers.,,,
Greece,Thessaloniki,Fake Tickets,Selling fake tickets for events or transportation.,"Tourist spots, online",Buy tickets from official sources only.,,,
Greece,Zakynthos,Fake Police,Individuals posing as police to extort money.,Tourist spots,Ask for identification and contact local authorities if unsure.,,,
Greece,Athens,Rental Property Scam,Scams related to renting properties.,Online platforms,Verify property listings and use reputable rental services.,,,
Greece,Santorini,Fake Charity,Asking for donations for fake charities.,"Streets, tourist spots",Do not donate to unknown charities.,,,
Greece,Mykonos,Fake Guide,Offering guide services and then demanding extra payment.,Tourist spots,Use official tour guides and agree on the price beforehand.,,,
Greece,Crete,Fake Souvenirs,Selling fake souvenirs as genuine.,Souvenir shops,Buy from reputable shops.,,,
Greece,Rhodes,Fake Jewelry,Selling fake jewelry as real.,Jewelry shops,Buy from reputable jewelers.,,,
Greece,Corfu,Fake Art,Selling fake art as genuine.,Art galleries,Buy from reputable galleries.,,,
Greece,Thessaloniki,Fake Perfume,Selling fake perfume as branded.,Perfume shops,Buy from authorized dealers.,,,
Greece,Zakynthos,Fake Electronics,Selling fake electronics as branded.,Electronics shops,Buy from authorized dealers.,,,
Turkey,Istanbul,Shoe Shine Scam,A shoeshiner offers free polishing but demands payment after completion.,Tourist-heavy areas,near landmarks,"Politely decline unsolicited offers for shoe shines <button class=""citation-flag"" data-index=""1"">.",,
Turkey,Istanbul,Fake Artefacts and Coins Scam,Vendors sell counterfeit artefacts or coins claiming they are authentic.,Markets,bazaars,"Research genuine items beforehand and buy from reputable dealers <button class=""citation-flag"" data-index=""1"">.",,
Turkey,Istanbul,Turkish Carpets and Rug Scams,Shops offer &quot;free&quot; carpet demonstrations with high-pressure sales tactics.,Carpet shops,"Be wary of &quot;too good to be true&quot; deals and insist on seeing certifications <button class=""citation-flag"" data-index=""1"">.",,,
Turkey,Istanbul,The Drink Scam,Bars serve drinks at inflated prices without clear menus.,Nightlife districts,"Inspect the menu before ordering and ask about prices upfront <button class=""citation-flag"" data-index=""1"">.",,,
Turkey,Antalya,Property Misrepresentation,Real estate agents exaggerate property features to attract buyers.,Coastal regions,"Verify all claims through independent inspections and legal advice <button class=""citation-flag"" data-index=""2"">.",,,
Turkey,Izmir,Fake Ownership Documents,Sellers present forged documents to deceive potential property buyers.,Urban centers,"Always use licensed real estate agents and verify documents officially <button class=""citation-flag"" data-index=""2"">.",,,
Turkey,Ankara,Overpricing,Merchants charge exorbitant rates for goods/services aimed at tourists.,Souvenir shops,restaurants,"Haggle and compare prices across different vendors <button class=""citation-flag"" data-index=""2"">.",,
Turkey,Istanbul,Unlicensed Real Estate Agents,Unauthorized agents attempt to close deals without proper credentials.,Popular neighborhoods,"Ensure agents are registered with local authorities <button class=""citation-flag"" data-index=""2"">.",,,
Turkey,Cappadocia,Taxi Scams,Drivers take longer routes or refuse to use meters,overcharging passengers.,Airports,train stations,"Agree on fare before starting the journey or use ride-hailing apps <button class=""citation-flag"" data-index=""5"">.",
Turkey,Ephesus,Fake Guides,Individuals pose as tour guides offering unauthorized tours at inflated fees.,Historical sites,"Book tours through accredited agencies and check guide licenses <button class=""citation-flag"" data-index=""5"">.",,,
Turkey,Bodrum,Currency Exchange Scams,Exchangers manipulate calculations or switch notes during transactions.,Currency exchange offices,"Use official exchange counters and count your money carefully <button class=""citation-flag"" data-index=""5"">.",,,
Turkey,Istanbul,Street Vendors and Fake Goods,Sellers hawk counterfeit merchandise while pretending it&#39;s authentic.,Streets,markets,"Avoid purchasing from street vendors unless you&#39;re certain of authenticity <button class=""citation-flag"" data-index=""5"">.",,
Turkey,Istanbul,Missing Change Scam,Shopkeepers claim there’s no change available and keep extra cash given.,Small shops,kiosks,"Pay exact amounts or ensure correct change is returned <button class=""citation-flag"" data-index=""6"">.",,
Turkey,Istanbul,Scenic Taxi Rides,Taxis drive scenic routes instead of direct ones to inflate fares.,Sultanahmet,Taksim Square,"Use GPS to track routes and agree on fares beforehand <button class=""citation-flag"" data-index=""6"">.",,
Turkey,Pamukkale,Guided Tour Overcharges,Tour operators quote one price initially but add hidden fees later.,Thermal pools,ruins,"Confirm all costs before booking and read reviews online <button class=""citation-flag"" data-index=""7"">.",,
Turkey,Istanbul,Free Dinner Invitation,Strangers invite tourists to dinner but expect expensive tips afterward.,Beyoğlu,Galata,"Politely decline invitations from strangers who seem overly friendly <button class=""citation-flag"" data-index=""7"">.",,
Turkey,Antalya,Beach Chair Fees,Beachgoers are charged unexpectedly high fees for using chairs/umbrellas.,Public beaches,"Ask about rental fees before settling down and look for posted rates <button class=""citation-flag"" data-index=""3"">.",,,
Turkey,Alanya,Gemstone Store Visits,Tours include stops at gemstone stores pushing overpriced jewelry.,Along tour itineraries,"Decline optional stops unless you trust the vendor <button class=""citation-flag"" data-index=""3"">.",,,
Turkey,Istanbul,Religious Site Entry Fees,Scammers demand entry fees at free religious sites pretending to be officials.,Mosques,churches,"Confirm entrance policies through official websites or guides <button class=""citation-flag"" data-index=""3"">.",,
Turkey,Safranbolu,Heritage Walk Charges,Locals offer heritage walks but charge excessively upon completion.,Historic district,"Negotiate prices clearly before accepting services <button class=""citation-flag"" data-index=""4"">.",,,
Turkey,Istanbul,ATM Skimming,Criminals install devices on ATMs to steal card information.,Busy shopping streets,"Use ATMs inside banks and avoid those that appear tampered with <button class=""citation-flag"" data-index=""4"">.",,,
Turkey,Konya,Charity Donation Requests,People solicit donations for fake charities or personal hardships.,Religious sites,parks,"Donate only through verified organizations and avoid giving cash directly <button class=""citation-flag"" data-index=""4"">.",,
Turkey,Istanbul,Lost Wallet Scheme,Someone drops a wallet,picks it up,and tries to involve you in splitting found money.,Crowded areas,"Do not engage in such situations; report suspicious behavior to authorities <button class=""citation-flag"" data-index=""1"">.",
Turkey,Marmaris,Souvenir Shop Pressure Sales,Shopkeepers pressure customers into buying unnecessary souvenirs.,Local markets,"Stay firm and leave if pressured; shop around first <button class=""citation-flag"" data-index=""6"">.",,,
Turkey,Istanbul,Counterfeit Money,Some traders may try passing off fake currency as real.,Informal marketplaces,"Learn how to identify genuine bills and exchange money at trusted locations <button class=""citation-flag"" data-index=""5"">.",,,
Turkey,Antalya,Hotel Transfer Rip-offs,Hotels arrange transfers that overcharge for airport pickups.,Airport arrival zones,"Compare transfer quotes and book directly through hotel websites <button class=""citation-flag"" data-index=""7"">.",,,
Turkey,Istanbul,Restaurant Menu Pricing Tricks,Menus display misleading pricing strategies (e.g.,per piece vs. per dish).,Tourist restaurants,"Read menus thoroughly and confirm what is included in each item <button class=""citation-flag"" data-index=""3"">.",,
Turkey,Cappadocia,Balloon Ride Add-ons,Hot air balloon companies add unexpected extras to final bills.,Launch sites,"Get detailed contracts and inquire about all possible charges <button class=""citation-flag"" data-index=""6"">.",,,
Turkey,Izmir,Public Transportation Fares,Conductors misinform passengers regarding bus/tram fares.,Public transit hubs,"Familiarize yourself with standard fares ahead of time <button class=""citation-flag"" data-index=""4"">.",,,
Turkey,Ankara,Police Impersonation,Scammers pretend to be police officers demanding bribes or fines.,Downtown areas,"Ask for identification and report any suspicious activity <button class=""citation-flag"" data-index=""7"">.",,,
Turkey,Istanbul,Pickpocketing,Thieves target crowded places to steal wallets,phones,etc.,Grand Bazaar,Spice Market,"Keep valuables secure in anti-theft bags and stay alert <button class=""citation-flag"" data-index=""1"">."
Turkey,Bodrum,Ferry Ticket Overpricing,Tickets for ferries are sold at higher-than-normal rates to tourists.,Ports,"Purchase tickets from official booths or authorized resellers <button class=""citation-flag"" data-index=""5"">.",,,
Turkey,Istanbul,Art Gallery Commissions,Galleries convince visitors to purchase artworks under false pretenses.,Art districts,"Investigate gallery reputations and seek second opinions before buying <button class=""citation-flag"" data-index=""6"">.",,,
Turkey,Antalya,Timeshare Offers,Companies push aggressive timeshare sales pitches with hidden costs.,Resort areas,"Understand terms fully and resist high-pressure tactics <button class=""citation-flag"" data-index=""7"">.",,,
Turkey,Izmir,Fake Pharmacies,Unlicensed sellers offer medications at reduced prices.,Backstreets,"Only purchase medicine from licensed pharmacies <button class=""citation-flag"" data-index=""4"">.",,,
Turkey,Ankara,Wi-Fi Password Scams,Cafés request payment for Wi-Fi access despite offering free service.,Coffee shops,"Confirm whether Wi-Fi is complimentary before providing payment <button class=""citation-flag"" data-index=""3"">.",,,
Turkey,Istanbul,Fortune Telling Fraud,So-called fortune tellers lure tourists with promises of insights.,Back alleys,tourist spots,"Avoid engaging with individuals offering unsolicited predictions <button class=""citation-flag"" data-index=""6"">.",,
Turkey,Cappadocia,Cave House Misleading Advertisements,Cave houses advertise luxurious accommodations but deliver substandard rooms.,Goreme area,"Review photos and testimonials before booking <button class=""citation-flag"" data-index=""2"">.",,,
Turkey,Ephesus,Historical Site Access Restrictions,Scammers block access to sites and charge unofficial entry fees.,Ancient city gates,"Enter through designated entrances and follow official signage <button class=""citation-flag"" data-index=""5"">.",,,
Turkey,Bodrum,Water Sports Equipment Rentals,Operators charge excessive fees for water sports gear rentals.,Beachfront,"Inquire about rental rates and agreements before agreeing to anything <button class=""citation-flag"" data-index=""7"">.",,,
Turkey,Istanbul,Language School Enrollment,Schools promise language courses but fail to deliver promised quality.,Educational districts,"Research schools extensively before enrolling <button class=""citation-flag"" data-index=""6"">.",,,
Turkey,Antalya,Car Rental Hidden Fees,Car rental companies impose additional charges not disclosed upfront.,Rental car desks,"Carefully review contracts and question any unclear clauses <button class=""citation-flag"" data-index=""4"">.",,,
Turkey,Izmir,Souvenir Reproductions,Authentic-looking replicas of traditional crafts are sold as originals.,Craft markets,"Authenticate craftsmanship by consulting experts or researching beforehand <button class=""citation-flag"" data-index=""3"">.",,,
Turkey,Ankara,Train Ticket Reservations,Scammers sell duplicate or invalid train tickets to unsuspecting travelers.,Train stations,"Buy tickets directly from railway offices or authorized websites <button class=""citation-flag"" data-index=""7"">.",,,
Turkey,Istanbul,Internet Café Credit Card Theft,Users enter credit card details on compromised computers.,Internet cafés,"Avoid entering sensitive information on public computers <button class=""citation-flag"" data-index=""1"">.",,,
Turkey,Cappadocia,Horseback Riding Price Hikes,Riding stables increase prices once rides begin.,Countryside trails,"Secure written agreements detailing costs prior to starting rides <button class=""citation-flag"" data-index=""6"">.",,,
Turkey,Ephesus,Historical Replica Sales,Dealers pass off modern reproductions as ancient artifacts.,Near archaeological sites,"Educate yourself on distinguishing features of authentic pieces <button class=""citation-flag"" data-index=""5"">.",,,
Qatar,Doha,Picture Scam,Strangers offer to take your photo but demand payment afterward.,Souq Waqif,Corniche,,,
Qatar,Doha,Taxis Overcharging,Drivers refuse to use meters or take longer routes to inflate fares.,Airport,hotels,,,
Qatar,Doha,Friendly ATM Helper,Someone offers assistance at ATMs and manipulates transactions.,ATM locations,"Decline help and cover your PIN while entering it <button class=""citation-flag"" data-index=""7"">.",,,
Qatar,Doha,“Friendly” Bar Friends,People befriend tourists in bars and later demand money for drinks.,Nightclubs,lounges,,,
Qatar,Doha,Bird Poop Scam,Scammers pretend bird droppings are on your clothes and clean them,demanding a tip.,Parks,,,
Qatar,Doha,Guessing Game,Street vendors challenge tourists to guess hidden objects for prizes.,Markets,"Avoid participating in street games that seem too good to be true <button class=""citation-flag"" data-index=""7"">.",,,
Qatar,Doha,Fake Tourist Attractions,Individuals claim access to exclusive sites for a fee but deliver nothing.,Popular tourist spots,"Research attractions beforehand and book through official channels <button class=""citation-flag"" data-index=""8"">.",,,
Qatar,Doha,Phony Tour Guide Scams,Unlicensed guides offer tours and charge inflated fees.,Historical sites,"Only hire licensed guides and verify credentials <button class=""citation-flag"" data-index=""2"">.",,,
Qatar,Doha,Counterfeit Goods,Vendors sell fake luxury items as authentic.,Informal markets,"Buy from reputable stores and inspect products closely <button class=""citation-flag"" data-index=""3"">.",,,
Qatar,Doha,Hotel Transfer Rip-offs,Hotels arrange transfers that overcharge for airport pickups.,Airport arrival zones,"Compare transfer quotes and book directly through hotel websites <button class=""citation-flag"" data-index=""9"">.",,,
UAE,Dubai,Fake Taxi Drivers,Unauthorized drivers pose as legitimate taxi operators.,Outside malls,near tourist landmarks,,,
UAE,Dubai,Phishing Emails,Scammers send emails pretending to offer deals or refunds.,Online,"Verify email senders and avoid clicking suspicious links <button class=""citation-flag"" data-index=""1"">.",,,
UAE,Dubai,Pyramid Schemes,Fraudsters recruit participants under false pretenses of earning quick money.,Business districts,"Be cautious of unsolicited business opportunities and research thoroughly <button class=""citation-flag"" data-index=""1"">.",,,
UAE,Dubai,Fraudulent Trading Platforms,Platforms promise high returns but vanish after collecting funds.,Financial centers,"Stick to regulated financial institutions and avoid unverified platforms <button class=""citation-flag"" data-index=""1"">.",,,
UAE,Dubai,Phony Tour Guide Scams,Locals claim expertise and solicit tourists for guided tours.,Old city areas,"Engage only with certified guides and confirm their legitimacy <button class=""citation-flag"" data-index=""2"">.",,,
UAE,Dubai,Water Sports Equipment Rentals,Operators charge excessive fees for water sports gear rentals.,Beachfront areas,"Inquire about rental rates and agreements before agreeing to anything <button class=""citation-flag"" data-index=""9"">.",,,
UAE,Dubai,Internet Café Credit Card Theft,Users enter credit card details on compromised computers.,Public internet cafés,"Avoid entering sensitive information on public computers <button class=""citation-flag"" data-index=""9"">.",,,
UAE,Dubai,Horseback Riding Price Hikes,Riding stables increase prices once rides begin.,Desert safari locations,"Secure written agreements detailing costs prior to starting rides <button class=""citation-flag"" data-index=""9"">.",,,
UAE,Dubai,Historical Replica Sales,Dealers pass off modern reproductions as ancient artifacts.,Near archaeological sites,"Educate yourself on distinguishing features of authentic pieces <button class=""citation-flag"" data-index=""9"">.",,,
UAE,Dubai,Language School Enrollment,Schools promise language courses but fail to deliver promised quality.,Educational districts,"Research schools extensively before enrolling <button class=""citation-flag"" data-index=""9"">.",,,
UAE,Dubai,Car Rental Hidden Fees,Companies impose additional charges not disclosed upfront.,Rental car desks,"Carefully review contracts and question any unclear clauses <button class=""citation-flag"" data-index=""9"">.",,,
Bahrain,Manama,Petty Crime,Pickpocketing and bag snatching occur in crowded areas.,Markets,busy streets,,,
Bahrain,Manama,Picture Scam,Strangers offer to take your photo but demand payment afterward.,Bab Al Bahrain,malls,,,
