Country,From,To,Transport Mode,Provider,Schedule,Route Info,Duration in hours,Price Range in USD,Cost Details and Options,Additional Info
Egypt,Luxor,Aswan,Train,Egyptian National Railways,Multiple daily,Direct,3-4,5-20,"Standard: $5-$10, Sleeper: $20",Sleeper cabins available
Egypt,Luxor,Edfu,Microbus,Local Operators,Frequent,Direct,1-2,3-8,"Per seat, cash only",Nile Valley route
Egypt,Luxor,Hurghada,Bus,Go Bus,Several daily,Direct,4-5,10-20,"Standard: $10-$15, Deluxe: $20",Some with Wi-Fi
Egypt,Luxor,Qena,Microbus,Local Operators,Frequent,Direct,1-2,3-8,"Per seat, cash only",Frequent but informal
Egypt,Port Said,Suez,Bus,East Delta Bus,Several daily,Direct,2-3,5-15,"Standard: $5-$10, Deluxe: $15",Canal Zone route
Egypt,Sharm el-Sheikh,Dahab,Taxi,Local Taxi,On demand,Direct,12-31,10-20,Negotiable per trip,Shared options available
Egypt,Sharm el-Sheikh,Hurghada,Bus,Go Bus,Several daily,Direct,4-5,10-25,"Standard: $10-$15, Deluxe: $25",Some with Wi-Fi
Egypt,Sharm el-Sheikh,Nuweiba,Taxi,Private Taxi,On demand,Direct,2-3,20-40,Negotiable per trip,Coastal route
Greece,Athens,Aegina,Ferry,Blue Star Ferries,Multiple daily,Direct,1-1.5,15-35,"Deck: $15-$25, Cabin: $35",Saronic short
Greece,Athens,Alexandroupoli,Train,Hellenic Train,Several daily,Direct,10-12,40-90,"Standard: $40-$60, First-class: $90",Northern route
Greece,Athens,Andros,Ferry,Fast Ferries,Several daily,Direct,2-3,20-50,"Deck: $20-$35, Cabin: $50",Cyclades short
Greece,Athens,Arta,Bus,KTEL,Several daily,Direct,5-6,25-55,"Standard: $25-$40, Premium: $55",Epirus route
Greece,Athens,Astypalea,Flight,Sky Express,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Dodecanese hop
Greece,Athens,Chalkida,Train,Hellenic Train,Multiple daily,Direct,1-1.5,10-25,"Standard: $10-$15, First-class: $25",Short trip
Greece,Athens,Chania,Ferry,ANEK Lines,Several daily,Direct,9-10,35-80,"Deck: $35-$55, Cabin: $80",Crete overnight
Greece,Athens,Chania,Flight,Olympic Air,Multiple daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Western Crete
Greece,Athens,Chios,Flight,Sky Express,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Aegean island
Greece,Athens,Corfu,Ferry,Minoan Lines,Several daily,Via Igoumenitsa,12-14,40-90,"Deck: $40-$60, Cabin: $90",Ionian route
Greece,Athens,Corfu,Flight,Olympic Air,Several daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Ionian island
Greece,Athens,Drama,Bus,KTEL,Daily,Direct,8-9,35-70,"Standard: $35-$50, Premium: $70",Northern route
Greece,Athens,Florina,Bus,KTEL,Daily,Direct,7-8,30-60,"Standard: $30-$45, Premium: $60",Northern mountains
Greece,Athens,Heraklion,Ferry,Minoan Lines,Several daily,Direct,8-9,35-80,"Deck: $35-$55, Cabin: $80",Crete overnight
Greece,Athens,Heraklion,Flight,Olympic Air,Multiple daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Crete connection
Greece,Athens,Igoumenitsa,Bus,KTEL,Several daily,Direct,7-8,30-60,"Standard: $30-$45, Premium: $60",Ionian gateway
Greece,Athens,Ikaria,Flight,Sky Express,Several daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Aegean island
Greece,Athens,Ioannina,Bus,KTEL,Several daily,Direct,6-7,25-55,"Standard: $25-$40, Premium: $55",Epirus route
Greece,Athens,Ithaca,Ferry,Levante Ferries,Several daily,Via Kefalonia,6-7,30-70,"Deck: $30-$50, Cabin: $70",Ionian route
Greece,Athens,Kalamata,Bus,KTEL,Several daily,Direct,3-4,20-45,"Standard: $20-$35, Premium: $45",Peloponnese south
Greece,Athens,Kalamata,Train,Hellenic Train,Several daily,Direct,5-6,25-60,"Standard: $25-$40, First-class: $60",Peloponnese south
Greece,Athens,Karditsa,Bus,KTEL,Several daily,Direct,4-5,20-45,"Standard: $20-$35, Premium: $45",Thessaly inland
Greece,Athens,Karpathos,Flight,Sky Express,Several daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Dodecanese island
Greece,Athens,Kastoria,Bus,KTEL,Daily,Direct,7-8,30-60,"Standard: $30-$45, Premium: $60",Northern lakes
Greece,Athens,Kavala,Flight,Olympic Air,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Northern hop
Greece,Athens,Kefalonia,Flight,Sky Express,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Ionian island
Greece,Athens,Kilkis,Bus,KTEL,Daily,Direct,6-7,25-55,"Standard: $25-$40, Premium: $55",Northern Greece
Greece,Athens,Kos,Flight,Aegean Airlines,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Dodecanese hop
Greece,Athens,Kythira,Ferry,ANEK Lines,Several daily,Direct,6-7,30-70,"Deck: $30-$50, Cabin: $70",Ionian island
Greece,Athens,Lamia,Bus,KTEL,Several daily,Direct,3-4,15-35,"Standard: $15-$25, Premium: $35",Central Greece
Greece,Athens,Larissa,Train,Hellenic Train,Several daily,Direct,3-4,20-50,"Standard: $20-$35, First-class: $50",Central Greece
Greece,Athens,Lemnos,Flight,Aegean Airlines,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Northern Aegean
Greece,Athens,Leros,Flight,Olympic Air,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Dodecanese hop
Greece,Athens,Lesvos,Flight,Aegean Airlines,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Aegean island
Greece,Athens,Messolonghi,Bus,KTEL,Several daily,Direct,3-4,20-45,"Standard: $20-$35, Premium: $45",Western Greece
Greece,Athens,Milos,Ferry,Blue Star Ferries,Several daily,Direct,6-7,30-70,"Deck: $30-$50, Cabin: $70",Cyclades route
Greece,Athens,Mykonos,Ferry,Hellenic Seaways,Multiple daily,Direct,4-5,25-60,"Deck: $25-$40, Cabin: $60",High-speed option
Greece,Athens,Mykonos,Flight,Aegean Airlines,Multiple daily,Direct,0.5-1,40-100,"Economy: $40-$70, Business: $100",Cyclades hop
Greece,Athens,Nafplio,Bus,KTEL,Several daily,Direct,2-3,15-35,"Standard: $15-$25, Premium: $35",Peloponnese short
Greece,Athens,Naxos,Ferry,Hellenic Seaways,Multiple daily,Direct,5-6,30-70,"Deck: $30-$50, Cabin: $70",Cyclades route
Greece,Athens,Paros,Ferry,Blue Star Ferries,Multiple daily,Direct,4-5,25-60,"Deck: $25-$40, Cabin: $60",Cyclades island
Greece,Athens,Patras,Bus,KTEL,Multiple daily,Direct,3-4,20-45,"Standard: $20-$35, Premium: $45",Western link
Greece,Athens,Patras,Ferry,ANEK Lines,Several daily,Via Corinth,5-6,25-60,"Deck: $25-$40, Cabin: $60",Gulf crossing
Greece,Athens,Patras,Train,Hellenic Train,Several daily,Direct,3-4,20-50,"Standard: $20-$35, First-class: $50",Peloponnese link
Greece,Athens,Poros,Ferry,Hellenic Seaways,Multiple daily,Direct,2-3,20-50,"Deck: $20-$35, Cabin: $50",Saronic Gulf
Greece,Athens,Rhodes,Ferry,Blue Star Ferries,Several daily,Direct,12-14,40-90,"Deck: $40-$60, Cabin: $90",Long Aegean
Greece,Athens,Rhodes,Flight,Aegean Airlines,Multiple daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Dodecanese hop
Greece,Athens,Samos,Flight,Olympic Air,Several daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Eastern Aegean
Greece,Athens,Santorini,Ferry,Blue Star Ferries,Several daily,Direct,7-8,30-70,"Deck: $30-$50, Cabin: $70",Piraeus departure
Greece,Athens,Santorini,Flight,Aegean Airlines,Multiple daily,Direct,0.5-1,40-100,"Economy: $40-$70, Business: $100",Island hop
Greece,Athens,Serres,Bus,KTEL,Several daily,Direct,6-7,25-55,"Standard: $25-$40, Premium: $55",Northern Greece
Greece,Athens,Skiathos,Flight,Sky Express,Several daily,Direct,12-30,40-100,"Economy: $40-$70, Business: $100",Sporades hop
Greece,Athens,Skopelos,Ferry,Hellenic Seaways,Several daily,Direct,5-6,30-70,"Deck: $30-$50, Cabin: $70",Sporades route
Greece,Athens,Skyros,Flight,Olympic Air,Several daily,Direct,12-30,40-100,"Economy: $40-$70, Business: $100",Sporades hop
Greece,Athens,Spetses,Ferry,Hellenic Seaways,Several daily,Direct,2-3,20-50,"Deck: $20-$35, Cabin: $50",Saronic Gulf
Greece,Athens,Symi,Ferry,Blue Star Ferries,Several daily,Via Rhodes,10-12,35-80,"Deck: $35-$55, Cabin: $80",Dodecanese route
Greece,Athens,Syros,Ferry,Hellenic Seaways,Several daily,Direct,3-4,25-60,"Deck: $25-$40, Cabin: $60",Cyclades short
Greece,Athens,Thasos,Ferry,Thasos Ferries,Several daily,Via Kavala,4-5,25-60,"Deck: $25-$40, Cabin: $60",Northern Aegean
Greece,Athens,Thessaloniki,Bus,KTEL,Multiple daily,Direct,6-7,25-55,"Standard: $25-$40, Premium: $55",Northern route
Greece,Athens,Thessaloniki,Train,Hellenic Train,Multiple daily,Direct,4.5-5,30-70,"Standard: $30-$50, First-class: $70",Mainland route
Greece,Athens,Tinos,Ferry,Hellenic Seaways,Several daily,Direct,4-5,25-60,"Deck: $25-$40, Cabin: $60",Cyclades route
Greece,Athens,Tripoli,Bus,KTEL,Several daily,Direct,2-3,15-35,"Standard: $15-$25, Premium: $35",Peloponnese inland
Greece,Athens,Volos,Bus,KTEL,Several daily,Direct,4-5,20-45,"Standard: $20-$35, Premium: $45",Thessaly coast
Greece,Athens,Xanthi,Bus,KTEL,Daily,Direct,8-9,35-70,"Standard: $35-$50, Premium: $70",Thrace region
Greece,Athens,Zakynthos,Flight,Sky Express,Several daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Ionian hop
Greece,Thessaloniki,Athens,Flight,Aegean Airlines,Multiple daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Reverse hop
Greece,Thessaloniki,Chalkidiki,Bus,KTEL,Multiple daily,Direct,1-2,10-25,"Standard: $10-$15, Premium: $25",Peninsula trip
Greece,Thessaloniki,Chania,Flight,Aegean Airlines,Daily,Direct,1.5,50-120,"Economy: $50-$80, Business: $120",Crete hop
Greece,Thessaloniki,Corfu,Flight,Aegean Airlines,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Ionian hop
Greece,Thessaloniki,Heraklion,Flight,Olympic Air,Daily,Direct,12-31,50-120,"Economy: $50-$80, Business: $120",Crete hop
Greece,Thessaloniki,Ioannina,Bus,KTEL,Daily,Direct,4-5,20-50,"Standard: $20-$35, Premium: $50",Epirus crossing
Greece,Thessaloniki,Kalamata,Bus,KTEL,Daily,Direct,9-10,40-80,"Standard: $40-$60, Premium: $80",Southern long
Greece,Thessaloniki,Kalamata,Flight,Aegean Airlines,Daily,Direct,1.5,50-120,"Economy: $50-$80, Business: $120",Southern hop
Greece,Thessaloniki,Kavala,Bus,KTEL,Several daily,Direct,2-3,15-35,"Standard: $15-$25, Premium: $35",Eastern Macedonia
Greece,Thessaloniki,Kavala,Train,Hellenic Train,Several daily,Direct,2-3,15-35,"Standard: $15-$25, First-class: $35",Northern rail
Greece,Thessaloniki,Kos,Flight,Aegean Airlines,Daily,Direct,1.5,50-120,"Economy: $50-$80, Business: $120",Dodecanese hop
Greece,Thessaloniki,Larissa,Bus,KTEL,Several daily,Direct,2-3,15-35,"Standard: $15-$25, Premium: $35",Thessaly link
Greece,Thessaloniki,Larissa,Train,Hellenic Train,Several daily,Direct,2-3,15-35,"Standard: $15-$25, First-class: $35",Thessaly rail
Greece,Thessaloniki,Lesvos,Flight,Aegean Airlines,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Aegean hop
Greece,Thessaloniki,Mykonos,Flight,Aegean Airlines,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Cyclades hop
Greece,Thessaloniki,Nafplio,Bus,KTEL,Daily,Direct,8-9,35-70,"Standard: $35-$50, Premium: $70",Peloponnese long
Greece,Thessaloniki,Patras,Bus,KTEL,Daily,Direct,7-8,30-60,"Standard: $30-$45, Premium: $60",Cross-country
Greece,Thessaloniki,Rhodes,Flight,Aegean Airlines,Daily,Direct,12-31,50-120,"Economy: $50-$80, Business: $120",Dodecanese hop
Greece,Thessaloniki,Samos,Flight,Aegean Airlines,Daily,Direct,1.5,50-120,"Economy: $50-$80, Business: $120",Aegean hop
Greece,Thessaloniki,Santorini,Flight,Aegean Airlines,Daily,Direct,12-31,50-120,"Economy: $50-$80, Business: $120",Island hop
Greece,Thessaloniki,Skiathos,Flight,Olympic Air,Daily,Direct,12-30,40-100,"Economy: $40-$70, Business: $100",Sporades hop
Greece,Thessaloniki,Volos,Bus,KTEL,Several daily,Direct,3-4,20-45,"Standard: $20-$35, Premium: $45",Thessaly route
Greece,Thessaloniki,Volos,Train,Hellenic Train,Several daily,Direct,3-4,20-50,"Standard: $20-$35, First-class: $50",Thessaly rail
Greece,Thessaloniki,Zakynthos,Flight,Aegean Airlines,Daily,Direct,12-31,50-120,"Economy: $50-$80, Business: $120",Ionian hop
Italy,Florence,Arezzo,Train,Trenitalia,Multiple daily,Direct,1-1.5,15-40,"Standard: $15-$25, First-class: $40",Tuscany art
Italy,Florence,Bologna,Train,Trenitalia,Multiple daily,Direct,0.5-1,15-40,"Standard: $15-$25, First-class: $40",Short link
Italy,Florence,Livorno,Train,Trenitalia,Multiple daily,Direct,1.5-2,20-50,"Standard: $20-$35, First-class: $50",Tuscany port
Italy,Florence,Lucca,Train,Trenitalia,Multiple daily,Direct,1-1.5,15-40,"Standard: $15-$25, First-class: $40",Tuscany walls
Italy,Florence,Milan,Bus,FlixBus,Several daily,Direct,3-4,15-40,"Standard: $15-$25, Premium: $40",Budget option
Italy,Florence,Naples,Train,Trenitalia Frecciarossa,Multiple daily,Direct,2.5-3,40-100,"Standard: $40-$70, Business: $100",Southern link
Italy,Florence,Pisa,Train,Trenitalia,Multiple daily,Direct,1-1.5,15-40,"Standard: $15-$25, First-class: $40",Tuscany short
Italy,Florence,Prato,Train,Trenitalia,Multiple daily,Direct,12-30,5-20,"Standard: $5-$15, First-class: $20",Tuscany short
Italy,Florence,Rome,Bus,FlixBus,Several daily,Direct,3-4,15-40,"Standard: $15-$25, Premium: $40",Reverse central
Italy,Florence,Siena,Bus,Tiemme,Multiple daily,Direct,1-1.5,10-25,"Standard: $10-$15, Premium: $25",Tuscan hills
Italy,Florence,Venice,Train,Trenitalia,Several daily,Direct,2-2.5,30-80,"Standard: $30-$50, First-class: $80",Art cities
Italy,Milan,Bergamo,Train,Trenitalia,Multiple daily,Direct,0.5-1,10-30,"Standard: $10-$20, First-class: $30",Lombardy short
Italy,Milan,Bologna,Train,Italo,Multiple daily,Direct,1-1.5,25-70,"Standard: $25-$45, Prima: $70",High-speed alternative
Italy,Milan,Brescia,Train,Trenitalia,Multiple daily,Direct,0.5-1,15-40,"Standard: $15-$25, First-class: $40",Lombardy short
Italy,Milan,Como,Train,Trenitalia,Multiple daily,Direct,0.5-1,10-30,"Standard: $10-$20, First-class: $30",Lake Como
Italy,Milan,Cremona,Train,Trenitalia,Multiple daily,Direct,1-1.5,20-50,"Standard: $20-$35, First-class: $50",Lombardy music
Italy,Milan,Florence,Train,Trenitalia Frecciarossa,Multiple daily,Direct,1.5-2,30-80,"Standard: $30-$50, Business: $80",Central connection
Italy,Milan,Genoa,Train,Trenitalia,Multiple daily,Direct,1.5-2,25-60,"Standard: $25-$40, First-class: $60",Ligurian coast
Italy,Milan,Lecco,Train,Trenitalia,Multiple daily,Direct,0.5-1,10-30,"Standard: $10-$20, First-class: $30",Lake Como north
Italy,Milan,Mantua,Train,Trenitalia,Multiple daily,Direct,1.5-2,25-60,"Standard: $25-$40, First-class: $60",Lombardy Renaissance
Italy,Milan,Modena,Train,Trenitalia,Multiple daily,Direct,1-1.5,20-50,"Standard: $20-$35, First-class: $50",Emilia-Romagna
Italy,Milan,Monza,Train,Trenitalia,Multiple daily,Direct,12-30,5-20,"Standard: $5-$15, First-class: $20",Lombardy short
Italy,Milan,Naples,Train,Trenitalia Frecciarossa,Multiple daily,Direct,5-5.5,60-130,"Standard: $60-$90, Business: $130",Long high-speed
Italy,Milan,Novara,Train,Trenitalia,Multiple daily,Direct,0.5-1,10-30,"Standard: $10-$20, First-class: $30",Piedmont short
Italy,Milan,Padua,Train,Trenitalia,Multiple daily,Direct,2-2.5,30-70,"Standard: $30-$50, First-class: $70",Veneto link
Italy,Milan,Parma,Train,Trenitalia,Multiple daily,Direct,1-1.5,20-50,"Standard: $20-$35, First-class: $50",Emilia-Romagna
Italy,Milan,Pavia,Train,Trenitalia,Multiple daily,Direct,0.5-1,10-30,"Standard: $10-$20, First-class: $30",Lombardy south
Italy,Milan,Piacenza,Train,Trenitalia,Multiple daily,Direct,1-1.5,20-50,"Standard: $20-$35, First-class: $50",Emilia-Romagna
Italy,Milan,Ravenna,Train,Trenitalia,Several daily,Via Bologna,2-3,30-70,"Standard: $30-$50, First-class: $70",Byzantine route
Italy,Milan,Rome,Flight,Ryanair,Daily,Direct,1.5,30-80,"Economy: $30-$50, Priority: $80",Budget option
Italy,Milan,Turin,Train,Trenitalia Frecciarossa,Multiple daily,Direct,1-1.5,20-60,"Standard: $20-$40, Business: $60",Piedmont link
Italy,Milan,Venice,Train,Trenitalia Frecciarossa,Multiple daily,Direct,2.5-3,40-100,"Standard: $40-$70, Business: $100",Northeast route
Italy,Milan,Verona,Train,Trenitalia,Multiple daily,Direct,1-1.5,20-50,"Standard: $20-$35, First-class: $50",Veneto link
Italy,Milan,Vicenza,Train,Trenitalia,Multiple daily,Direct,1.5-2,25-60,"Standard: $25-$40, First-class: $60",Veneto route
Italy,Naples,Bari,Train,Trenitalia,Several daily,Direct,3-4,30-70,"Standard: $30-$50, First-class: $70",Southern coast
Italy,Naples,Rome,Bus,FlixBus,Several daily,Direct,2-3,10-30,"Standard: $10-$20, Premium: $30",Short southern
Italy,Naples,Salerno,Train,Trenitalia,Multiple daily,Direct,0.5-1,10-25,"Standard: $10-$15, First-class: $25",Amalfi coast link
Italy,Rome,Alghero,Flight,ITA Airways,Daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Sardinia northwest
Italy,Rome,Ancona,Train,Trenitalia,Several daily,Direct,3-4,30-70,"Standard: $30-$50, First-class: $70",Adriatic route
Italy,Rome,Aosta,Train,Trenitalia,Several daily,Via Turin,6-7,60-130,"Standard: $60-$90, First-class: $130",Alpine northwest
Italy,Rome,Aquila,Train,Trenitalia,Several daily,Direct,2-3,25-60,"Standard: $25-$40, First-class: $60",Abruzzo mountains
Italy,Rome,Bari,Flight,ITA Airways,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Adriatic hop
Italy,Rome,Bari,Train,Trenitalia,Several daily,Direct,4-5,40-90,"Standard: $40-$60, First-class: $90",Adriatic coast
Italy,Rome,Bologna,Train,Trenitalia Frecciarossa,Multiple daily,Direct,2-2.5,35-90,"Standard: $35-$60, Business: $90",Central route
Italy,Rome,Bolzano,Train,Trenitalia,Several daily,Via Verona,5-6,50-110,"Standard: $50-$80, First-class: $110",South Tyrol
Italy,Rome,Brindisi,Train,Trenitalia,Several daily,Direct,5-6,50-110,"Standard: $50-$80, First-class: $110",Apulia route
Italy,Rome,Cagliari,Flight,ITA Airways,Daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Sardinia hop
Italy,Rome,Campobasso,Train,Trenitalia,Several daily,Direct,3-4,30-70,"Standard: $30-$50, First-class: $70",Molise route
Italy,Rome,Catania,Flight,ITA Airways,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Eastern Sicily
Italy,Rome,Civitavecchia,Train,Trenitalia,Multiple daily,Direct,1-1.5,15-40,"Standard: $15-$25, First-class: $40",Port link
Italy,Rome,Florence,Train,Trenitalia Frecciarossa,Multiple daily,Direct,1.5-2,30-80,"Standard: $30-$50, Business: $80",High-speed link
Italy,Rome,Foggia,Train,Trenitalia,Several daily,Direct,3-4,30-70,"Standard: $30-$50, First-class: $70",Apulia link
Italy,Rome,Genoa,Train,Trenitalia,Several daily,Direct,4-5,40-90,"Standard: $40-$60, First-class: $90",Ligurian route
Italy,Rome,Grosseto,Train,Trenitalia,Several daily,Direct,2-3,25-60,"Standard: $25-$40, First-class: $60",Tuscany coast
Italy,Rome,La Spezia,Train,Trenitalia,Several daily,Direct,4-5,40-90,"Standard: $40-$60, First-class: $90",Cinque Terre gateway
Italy,Rome,Lamezia Terme,Flight,ITA Airways,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Calabria hop
Italy,Rome,Lecce,Train,Trenitalia,Several daily,Direct,5-6,50-110,"Standard: $50-$80, First-class: $110",Apulia south
Italy,Rome,Matera,Bus,FlixBus,Several daily,Direct,5-6,20-50,"Standard: $20-$35, Premium: $50",Sassi city
Italy,Rome,Messina,Train,Trenitalia,Several daily,Via ferry,6-7,60-130,"Standard: $60-$90, First-class: $130",Sicily crossing
Italy,Rome,Milan,Bus,FlixBus,Several daily,Direct,7-8,20-50,"Standard: $20-$35, Premium: $50",Overnight option
Italy,Rome,Milan,Train,Trenitalia Frecciarossa,Multiple daily,Direct,3-3.5,50-120,"Standard: $50-$80, Business: $120",High-speed rail
Italy,Rome,Naples,Train,Trenitalia Frecciarossa,Multiple daily,Direct,1-1.5,25-70,"Standard: $25-$45, Business: $70",Southern high-speed
Italy,Rome,Olbia,Flight,ITA Airways,Daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Sardinia coast
Italy,Rome,Oristano,Flight,ITA Airways,Daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Sardinia west
Italy,Rome,Palermo,Flight,ITA Airways,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Sicily hop
Italy,Rome,Perugia,Train,Trenitalia,Several daily,Direct,2-3,25-60,"Standard: $25-$40, First-class: $60",Umbria route
Italy,Rome,Pescara,Train,Trenitalia,Several daily,Direct,3-4,30-70,"Standard: $30-$50, First-class: $70",Abruzzo coast
Italy,Rome,Pisa,Train,Trenitalia Frecciarossa,Multiple daily,Direct,2.5-3,35-90,"Standard: $35-$60, Business: $90",Tuscany route
Italy,Rome,Potenza,Train,Trenitalia,Several daily,Direct,4-5,40-90,"Standard: $40-$60, First-class: $90",Basilicata route
Italy,Rome,Reggio Calabria,Train,Trenitalia,Several daily,Direct,5-6,50-110,"Standard: $50-$80, First-class: $110",Toe of Italy
Italy,Rome,Rimini,Train,Trenitalia,Several daily,Direct,3-4,30-70,"Standard: $30-$50, First-class: $70",Adriatic resort
Italy,Rome,Salerno,Train,Trenitalia Frecciarossa,Multiple daily,Direct,2-2.5,35-90,"Standard: $35-$60, Business: $90",Amalfi gateway
Italy,Rome,Sassari,Flight,ITA Airways,Daily,Direct,1,40-100,"Economy: $40-$70, Business: $100",Sardinia north
Italy,Rome,Siracusa,Train,Trenitalia,Several daily,Via ferry,7-8,60-130,"Standard: $60-$90, First-class: $130",Sicily southeast
Italy,Rome,Taranto,Train,Trenitalia,Several daily,Direct,5-6,50-110,"Standard: $50-$80, First-class: $110",Apulia gulf
Italy,Rome,Trapani,Flight,ITA Airways,Daily,Direct,12-31,40-100,"Economy: $40-$70, Business: $100",Western Sicily
Italy,Rome,Trento,Train,Trenitalia,Several daily,Direct,4-5,40-90,"Standard: $40-$60, First-class: $90",Alpine route
Italy,Rome,Trieste,Train,Trenitalia,Several daily,Direct,5-6,50-110,"Standard: $50-$80, First-class: $110",Northeast coast
Italy,Rome,Turin,Train,Trenitalia Frecciarossa,Multiple daily,Direct,4-4.5,50-120,"Standard: $50-$80, Business: $120",Northwest high-speed
Italy,Rome,Udine,Train,Trenitalia,Several daily,Direct,6-7,60-130,"Standard: $60-$90, First-class: $130",Friuli route
Italy,Rome,Venice,Train,Italo,Multiple daily,Direct,3.5-4,50-110,"Standard: $50-$80, Prima: $110",High-speed alternative
Italy,Venice,Bologna,Train,Trenitalia,Multiple daily,Direct,1.5-2,25-60,"Standard: $25-$40, First-class: $60",Central link
Italy,Venice,Ferrara,Train,Trenitalia,Multiple daily,Direct,1-1.5,20-50,"Standard: $20-$35, First-class: $50",Emilia-Romagna
Italy,Venice,Padua,Train,Trenitalia,Multiple daily,Direct,0.5-1,10-30,"Standard: $10-$20, First-class: $30",Veneto short
Italy,Venice,Ravenna,Train,Trenitalia,Several daily,Via Bologna,2-3,30-70,"Standard: $30-$50, First-class: $70",Byzantine coast
Italy,Venice,Treviso,Train,Trenitalia,Multiple daily,Direct,0.5,5-20,"Standard: $5-$15, First-class: $20",Veneto short
Italy,Venice,Trieste,Train,Trenitalia,Multiple daily,Direct,2-2.5,25-60,"Standard: $25-$40, First-class: $60",Northeast coast
Italy,Venice,Verona,Train,Trenitalia,Multiple daily,Direct,1-1.5,20-50,"Standard: $20-$35, First-class: $50",Veneto short trip
Malta,Mosta,Attard,Bus,Malta Public Transport,Multiple daily,Direct,0.25-0.5,2-5,"Standard: $2-$3, Day pass: $5",Short central
Malta,Mosta,Birżebbuġa,Bus,Malta Public Transport,Several daily,Direct,1-1.25,2-5,"Standard: $2-$3, Day pass: $5",Southern route
Malta,Mosta,Ċirkewwa,Bus,Malta Public Transport,Several daily,Direct,0.75-1,2-5,"Standard: $2-$3, Day pass: $5",Ferry terminal
Malta,Mosta,Dingli,Bus,Malta Public Transport,Several daily,Direct,0.5-0.75,2-5,"Standard: $2-$3, Day pass: $5",Western link
Malta,Mosta,Lija,Bus,Malta Public Transport,Several daily,Direct,0.25-0.5,2-5,"Standard: $2-$3, Day pass: $5",Short central
Malta,Mosta,Marsaxlokk,Bus,Malta Public Transport,Several daily,Direct,1-1.25,2-5,"Standard: $2-$3, Day pass: $5",Fishing village
Malta,Mosta,Mdina,Bus,Malta Public Transport,Multiple daily,Direct,0.25,2-5,"Standard: $2-$3, Day pass: $5",Short historic
Malta,Mosta,Mellieħa,Bus,Malta Public Transport,Several daily,Direct,0.5-0.75,2-5,"Standard: $2-$3, Day pass: $5",Northern beach
Malta,Mosta,Naxxar,Bus,Malta Public Transport,Multiple daily,Direct,0.25-0.5,2-5,"Standard: $2-$3, Day pass: $5",Short northern
Malta,Mosta,Rabat,Bus,Malta Public Transport,Several daily,Direct,0.25-0.5,2-5,"Standard: $2-$3, Day pass: $5",Short central
Malta,Mosta,St. Julian's,Bus,Malta Public Transport,Several daily,Direct,0.5-0.75,2-5,"Standard: $2-$3, Day pass: $5",Nightlife link
Malta,Mosta,St. Paul's Bay,Bus,Malta Public Transport,Several daily,Direct,0.5-0.75,2-5,"Standard: $2-$3, Day pass: $5",Northern link
Malta,Mosta,Victoria (Gozo),Bus+Ferry,Malta Public Transport + Gozo Channel,Multiple daily,Via Ċirkewwa,1.5-2,7-15,"Bus: $2-$3, Ferry: $5-$7",Gozo capital
Malta,Mosta,Żurrieq,Bus,Malta Public Transport,Several daily,Direct,1-1.25,2-5,"Standard: $2-$3, Day pass: $5",Southern link
Malta,Sliema,Attard,Bus,Malta Public Transport,Several daily,Direct,0.5-0.75,2-5,"Standard: $2-$3, Day pass: $5",Central link
Malta,Sliema,Balzan,Bus,Malta Public Transport,Several daily,Direct,0.5-0.75,2-5,"Standard: $2-$3, Day pass: $5",Central short
Malta,Sliema,Birgu,Bus,Malta Public Transport,Several daily,Direct,0.5-0.75,2-5,"Standard: $2-$3, Day pass: $5",Three Cities
Malta,Sliema,Birżebbuġa,Bus,Malta Public Transport,Several daily,Direct,1-1.25,2-5,"Standard: $2-$3, Day pass: $5",Southern route
